,,,
Time,No.,Content,Hotness
2022-02-21 00:00:01,,,
,,为全球奥林匹克事业作出新的贡献, 
,1,冰墩墩哭了,3309847
,2,冰墩墩售罄,2414672
,3,北京冬奥耀眼的中国红,2349226
,•,9型眼报告公测,
,4,乌克兰运动员拥抱俄罗斯运动员,2312536
,5,李玉刚羽生结弦,2130498
,6,张艺谋太懂了,1874942
,7,雪容融要开始上班了,1588075
,8,北京冬奥会闭幕式,1519370
,9,今晚到明晨广东最冷,1328264
,10,乌克兰总统泽连斯基质问西方,1204732
,11,考研锦鲤,1181696
,12,请运动员们落座观礼,1094605
,13,冰墩墩下班了,1039049
,14,大场面还得是张艺谋,1033437
,15,康辉 闭幕式,1033437
,16,疫情欠的演唱会今年能还吗,966634
,17,我和你,887617
,18,张艺谋谈中国人的家国情怀,818138
,19,妈妈收拾女儿化妆品惊呆了,816907
,20,广东居然也有这么厚的雪,796982
,21,在冬奥闭幕式看到了丁程鑫,781401
,22,冬奥会闭幕式上看到了张真源,751307
,23,开幕二十四节气闭幕十二生肖,745261
,24,一起向未来,719520
,25,冰墩墩不哭,715211
,26,冰墩墩挥手再见,697063
,27,五环和雪花交汇,637036
,28,成都市发现1例新冠肺炎本土病例,631631
,29,中国国旗是举得最高的,610220
,30,江苏明晨最低零下7度,602567
,31,再见了北京冬奥,602044
,32,张艺谋把我整哭了,575491
,33,观众用手机点亮鸟巢,552949
,34,世界大同天下一家,552691
,35,如何评价北京冬奥会闭幕式,534092
,36,天下一家烟花,532529
,37,罗云熙实现一户一小墩,518635
,38,谷爱凌苏翊鸣像在蹦迪,500725
,39,北京冬奥正式闭幕,460501
,40,齐心抗疫香港一定搞得掂,454687
,41,折柳寄情太浪漫了,451624
,42,宋祖儿这样的闺蜜能处,416190
,43,如何用中国式浪漫说闭幕,409924
,44,巴赫又不穿羽绒服,398616
,45,开幕式迎客松相迎 闭幕式折柳枝相送,369227
,46,冰墩墩,363864
,47,徐梦桃拿捏体重,综艺 342307
,48,2008北京奥运五环再次升起,339666
,49,一百万只冰墩墩到货,323118
,50,广州下雪破案了,319189
,,,
Time,No.,Content,Hotness
2022-02-21 00:15:01,,,
,,致中国体育代表团的贺电, 
,1,冰墩墩哭了,2729478
,2,冰墩墩售罄,2233745
,3,北京冬奥耀眼的中国红,1960512
,•,做自己 才够味,
,4,乌克兰运动员拥抱俄罗斯运动员,1944743
,5,李玉刚羽生结弦,1898947
,6,张艺谋太懂了,1616975
,7,考研锦鲤,1455776
,8,雪容融要开始上班了,1407652
,9,广东居然也有这么厚的雪,1398121
,10,今晚到明晨广东最冷,1392072
,11,北京冬奥会闭幕式,1392038
,12,冰墩墩下班了,935951
,13,请运动员们落座观礼,892732
,14,冰墩墩不哭,873439
,15,大场面还得是张艺谋,845284
,16,疫情欠的演唱会今年能还吗,828825
,17,我和你,809844
,18,康辉 闭幕式,805544
,19,乌克兰总统泽连斯基质问西方,805267
,20,妈妈收拾女儿化妆品惊呆了,773106
,21,在冬奥闭幕式看到了丁程鑫,742948
,22,冬奥会闭幕式上看到了张真源,706132
,23,张艺谋谈中国人的家国情怀,703241
,24,一起向未来,649138
,25,冰墩墩挥手再见,643811
,26,开幕二十四节气闭幕十二生肖,600111
,27,再见了北京冬奥,587743
,28,成都市发现1例新冠肺炎本土病例,550641
,29,观众用手机点亮鸟巢,525152
,30,江苏明晨最低零下7度,518136
,31,世界大同天下一家,516283
,32,中国国旗是举得最高的,510956
,33,如何评价北京冬奥会闭幕式,509873
,34,天下一家烟花,500677
,35,闭幕式的微博评论太走心了,496028
,36,五环和雪花交汇,480250
,37,如何用中国式浪漫说闭幕,450138
,38,北京冬奥正式闭幕,446672
,39,罗云熙实现一户一小墩,423861
,40,齐心抗疫香港一定搞得掂,413412
,41,谷爱凌苏翊鸣像在蹦迪,405696
,42,宋祖儿这样的闺蜜能处,381389
,43,折柳寄情太浪漫了,367781
,44,巴赫又不穿羽绒服,355875
,45,张艺谋把我整哭了,346229
,46,2008北京奥运五环再次升起,317350
,47,查到考研成绩有多激动,316249
,48,冰墩墩,302093
,49,一百万只冰墩墩到货,298718
,50,广州下雪破案了,298582
,,,
Time,No.,Content,Hotness
2022-02-21 00:30:01,,,
,,为全球奥林匹克事业作出新的贡献, 
,1,冰墩墩哭了,2256031
,2,冰墩墩售罄,1813973
,3,北京冬奥耀眼的中国红,1632027
,•,伊利与奥运的17年,
,4,乌克兰运动员拥抱俄罗斯运动员,1594055
,5,李玉刚羽生结弦,1584325
,6,查到考研成绩有多激动,1582886
,7,张艺谋太懂了,1372121
,8,考研锦鲤,1327757
,9,广东居然也有这么厚的雪,1280182
,10,乌克兰总统泽连斯基质问西方,1258215
,11,北京冬奥会闭幕式,1256112
,12,冰墩墩不哭,1093172
,13,雪容融要开始上班了,1057115
,14,大场面还得是张艺谋,869548
,15,冰墩墩下班了,824001
,16,我和你,806285
