,,,
Time,No.,Content,Hotness
2021-12-14 00:00:01,,,
,,聚焦党的十九届六中全会, 
,1,耐克起诉阿迪达斯抄袭,2790222
,2,中国内地首次检出奥密克戎变异株,2252110
,3,人民日报谈推动六中全会精神落地生根,2074206
,4,星巴克承认使用过期食材,1934201
,5,孙卓决定回深圳,1535760
,6,怎么她胖得那么可爱,1015205
,7,直播双子座流星雨,871952
,8,爸爸辞职陪自闭症儿子卖玩具,769635
,9,外面卖十几块1份的孜然鸡柳,635652
,10,英国至少1人感染奥密克戎死亡,634860
,11,香港小学播南京大屠杀史实吓哭学生遭投诉,634770
,12,双子座流星雨,634653
,13,浙江中高风险地区出行要求延续至明年3月15日,593976
,14,警方通报辛巴直播基地前打人事件,482951
,15,天津疫情,479445
,16,这才是刻进DNA里的歌曲,475204
,17,这就是洁癖小狗吧,409495
,18,确诊的哥曾多天连续工作20小时,393073
,19,女子高铁站突然产子众人现场搭产房,360038
,20,绍兴新增37例确诊病例,342087
,21,头发多的女生是怎么过冬的,336281
,22,浙江一女子国家公祭日穿和服逛街,332727
,23,海宁回应一女子国家公祭日穿和服逛街,326944
,24,女朋友不想卸妆时的正确示范,292139
,25,欧冠16强重新抽签,278955
,26,这样的女儿也太帅了,270390
,27,当体检报告上出现结节,266938
,28,这面墙是30万遇难同胞共同的墓碑,253013
,29,今天国家公祭日,250046
,30,中国有超2.5亿人脱发,247218
,31,女孩公交站被打被逼下跪自扇耳光,247025
,32,原来这就是传说中的猫猫虫,245890
,33,女子麻醉没醒举着空气玩手机,244331
,34,看双子座流星雨洒满天际,236403
,35,同济大学大量猫中毒作案人已找到,212303
,36,新确认7名日军慰安妇制度受害者,197446
,37,小朋友也会有烦恼吗,192921
,38,绍兴本轮疫情累计144例确诊,188280
,39,梅西对决C罗,178180
,40,欧冠16强抽签,173761
,41,广州疫情,172062
,42,那年我们,169784
,43,谁是凶手,168702
,44,无锡市场监管局约谈星巴克,167637
,45,电影跨过鸭绿江17日上映,154039
,46,紫金草,153049
,47,以国之名祭奠30万遇难同胞,152579
,48,2021年最后一场大规模流星雨,150190
,49,国家公祭仪式,145712
,50,中山大学又现神秘古墓,142958
,,,
Time,No.,Content,Hotness
2021-12-14 00:15:02,,,
,,聚焦党的十九届六中全会, 
,1,孙卓决定回深圳,2229711
,2,直播双子座流星雨,2058973
,3,人民日报谈推动六中全会精神落地生根,2044488
,4,星巴克承认使用过期食材,2042681
,5,耐克起诉阿迪达斯抄袭,2040819
,6,怎么她胖得那么可爱,781464
,•,秦海璐演的李萍频频贫评,
,7,中国内地首次检出奥密克戎变异株,757547
,8,双子座流星雨,653549
,9,爸爸辞职陪自闭症儿子卖玩具,621478
,10,英国至少1人感染奥密克戎死亡,550136
