,,,
Time,No.,Content,Hotness
2022-04-03 00:00:01,,,
,,努力创造新时代高质量发展的标杆, 
,1,易烊千玺工作室将起诉造谣者,2075139
,2,长沙女子忘关火烧毁表哥家复式楼,1462905
,3,家的荣耀,1294068
,•,世界品质天生要强,
,4,江苏已调派5000余名医务人员支援上海,1146794
,5,成都疫情,1024475
,6,上海回应市民录音投诉健康云结果有误,1021395
,•,假期必看爽片边缘行者,
,7,新浪员工哇唧唧哇反向扫楼,综艺 874651
,8,台湾发现首例感染XE变异毒株病例,770906
,9,属实是梦中的婚礼了,665785
,10,教育部要求对双减成果回头看,631209
,11,都美竹,625265
,12,浦西核酸,607452
,13,上海物资,588318
,14,专家称上海这次疫情规模比武汉大,579119
,15,BIGBANG新歌空降单曲年榜TOP1,音乐 566884
,16,新疆烤包子原来还能这么吃,536620
,17,美在俄乌冲突中疯狂吸血敛财,527883
,18,常熟确诊病例感染为奥密克戎变异株BA.1.1,466664
,19,突然觉得自己不再年轻的瞬间,433004
,20,猫妈妈赖上男老师被窝生崽,386936
,21,假如疫情没有发生,373220
,22,心居冯晓琴搬出顾家,剧集 360135
,23,亢奋,剧集 351375
,24,mbti,333103
,25,黄仁俊翻唱认真的雪,音乐 307864
,26,深圳福田城中村个体户获5000到10000元补贴,286260
,27,甄嬛传版小鸡恰恰舞,279937
,28,王牌对王牌第五期延后播出,综艺 275507
,29,男子串门时偷走女友表妹订婚手镯,269869
,30,生活也不全是emo啦,260643
,31,黄多多晒首次当舞台剧导演照片,253506
,32,武汉疫情,250340
,33,张彬彬负重60斤爬16层,综艺 250074
,34,连上六天班是什么体验,244623
,35,女子借手机给熟人背上5.6万元网贷,243379
,36,深圳开学时间,239089
,37,与君初相识与恰似故人归海报对比,剧集 238351
,38,刘宇宁直播,221527
,39,乌总统称乌方不接受胜利外任何结果,216703
,40,Faker十冠王,207464
,41,纪云禾出逃失败,剧集 205620
,42,贺峻霖我怎么这么好看舞台,音乐 205176
,43,男生收到礼物后的反应,202906
,44,超级兵偷家带飞,195629
,45,eStar对战WE,186321
,46,走出人生低谷的12条建议,177967
,47,林书豪首节5中5,176506
,48,上海妇联回应婴幼儿被单独隔离问题,174801
,49,朴章赫,167546
,50,这独立卫生间够独立的,158925
,,,
Time,No.,Content,Hotness
2022-04-03 00:15:01,,,
,,中欧高峰会晤, 
,1,易烊千玺工作室将起诉造谣者,1901391
,2,长沙女子忘关火烧毁表哥家复式楼,1482245
,3,家的荣耀,1114176
,4,江苏已调派5000余名医务人员支援上海,971594
,5,成都疫情,968230
,6,上海回应市民录音投诉健康云结果有误,966806
,7,教育部要求对双减成果回头看,920824
,8,新浪员工哇唧唧哇反向扫楼,综艺 754922
,9,台湾发现首例感染XE变异毒株病例,704318
,10,属实是梦中的婚礼了,636903
,11,都美竹,616465
,12,浦西核酸,601537
,13,上海物资,555429
,14,专家称上海这次疫情规模比武汉大,515424
,15,BIGBANG新歌空降单曲年榜TOP1,音乐 511011
,16,美在俄乌冲突中疯狂吸血敛财,505902
,17,男子串门时偷走女友表妹订婚手镯,449255
,18,新疆烤包子原来还能这么吃,430981
,19,mbti,402610
,20,常熟确诊病例感染为奥密克戎变异株BA.1.1,399915
,21,突然觉得自己不再年轻的瞬间,399329
,22,纪云禾出逃失败,剧集 336504
,23,亢奋,剧集 335847
,24,猫妈妈赖上男老师被窝生崽,310799
,25,假如疫情没有发生,309136
,26,心居冯晓琴搬出顾家,剧集 282656
,27,甄嬛传版小鸡恰恰舞,278193
,28,无症状感染者如何治疗,246407
,29,深圳福田城中村个体户获5000到10000元补贴,244139
,30,黄仁俊翻唱认真的雪,音乐 232515
,31,黄多多晒首次当舞台剧导演照片,224797
,32,武汉疫情,222186
,33,刘宇宁直播,220922
,34,连上六天班是什么体验,215257
,35,王牌对王牌第五期延后播出,综艺 215108
,36,生活也不全是emo啦,211830
,37,深圳开学时间,211378
,38,张彬彬负重60斤爬16层,综艺 209349
,39,女子借手机给熟人背上5.6万元网贷,207134
,40,乌总统称乌方不接受胜利外任何结果,198720
,41,贺峻霖我怎么这么好看舞台,音乐 197643
,42,男生收到礼物后的反应,192367
,43,林书豪首节5中5,191050
,44,二十五二十一,剧集 186097
,45,Faker十冠王,181476
,46,eStar对战WE,159079
,47,超级兵偷家带飞,155813
,48,上海妇联回应婴幼儿被单独隔离问题,143999
,49,如何花钱才能又省又幸福,141005
,50,走出人生低谷的12条建议,136695
,,,
Time,No.,Content,Hotness
2022-04-03 00:30:01,,,
,,最闪亮的坐标, 
,1,易烊千玺工作室将起诉造谣者,1682370
,2,长沙女子忘关火烧毁表哥家复式楼,1423413
,3,家的荣耀,1186134
,4,教育部要求对双减成果回头看,1149909
,5,成都疫情,924716
,6,上海回应市民录音投诉健康云结果有误,803136
,7,台湾发现首例感染XE变异毒株病例,625903
,8,新浪员工哇唧唧哇反向扫楼,综艺 568391
,9,属实是梦中的婚礼了,562395
,10,男子串门时偷走女友表妹订婚手镯,529519
,11,都美竹,518677
,12,无症状感染者如何治疗,490280
,13,BIGBANG新歌空降单曲年榜TOP1,音乐 468570
,14,浦西核酸,459412
,15,美在俄乌冲突中疯狂吸血敛财,448198
,16,mbti,430717
,17,上海物资,423856
,18,新疆烤包子原来还能这么吃,347131
,19,突然觉得自己不再年轻的瞬间,330678
,20,专家称上海这次疫情规模比武汉大,329019
,21,常熟确诊病例感染为奥密克戎变异株BA.1.1,326382
,22,纪云禾出逃失败,剧集 323293
,23,江苏已调派5000余名医务人员支援上海,309166
,24,假如疫情没有发生,284614
,25,二十五二十一,剧集 268127
,26,亢奋,剧集 265298
,27,甄嬛传版小鸡恰恰舞,262441
,28,猫妈妈赖上男老师被窝生崽,230622
,29,心居冯晓琴搬出顾家,剧集 213089
,30,深圳福田城中村个体户获5000到10000元补贴,209799
,31,黄多多晒首次当舞台剧导演照片,207677
,32,刘宇宁直播,206993
,33,武汉疫情,206569
,34,黄仁俊翻唱认真的雪,音乐 202164
,35,贺峻霖我怎么这么好看舞台,音乐 188126
,36,连上六天班是什么体验,186600
,37,深圳开学时间,180292
,38,女子借手机给熟人背上5.6万元网贷,177947
,39,乌总统称乌方不接受胜利外任何结果,177364
,40,生活也不全是emo啦,169620
,41,王牌对王牌第五期延后播出,综艺 165171
,42,Faker十冠王,161929
,43,林书豪首节5中5,158933
,44,男生收到礼物后的反应,158864
,45,张彬彬负重60斤爬16层,综艺 158512
,46,上海妇联回应婴幼儿被单独隔离问题,154596
,47,eStar对战WE,140213
,48,超级兵偷家带飞,138112
,49,如何花钱才能又省又幸福,135551
,50,XYG战胜GK,129603
,,,
Time,No.,Content,Hotness
2022-04-03 00:45:01,,,
,,中欧高峰会晤, 
,1,易烊千玺工作室将起诉造谣者,1371661
,2,长沙女子忘关火烧毁表哥家复式楼,1238131
,3,家的荣耀,888414
,4,成都疫情,837995
,5,教育部要求对双减成果回头看,775192
,6,上海回应市民录音投诉健康云结果有误,722694
,7,无症状感染者如何治疗,638390
,8,男子串门时偷走女友表妹订婚手镯,589949
,9,台湾发现首例感染XE变异毒株病例,540790
,10,属实是梦中的婚礼了,481777
,11,都美竹,467364
,12,新浪员工哇唧唧哇反向扫楼,综艺 448975
,13,mbti,448547
,14,浦西核酸,434689
,15,BIGBANG新歌空降单曲年榜TOP1,音乐 401265
,16,美在俄乌冲突中疯狂吸血敛财,362287
,17,上海物资,356191
,18,二十五二十一,剧集 346917
,19,突然觉得自己不再年轻的瞬间,312293
,20,专家称上海这次疫情规模比武汉大,306065
,21,纪云禾出逃失败,剧集 294680
,22,新疆烤包子原来还能这么吃,253385
,23,江苏已调派5000余名医务人员支援上海,252796
,24,甄嬛传版小鸡恰恰舞,251872
,25,常熟确诊病例感染为奥密克戎变异株BA.1.1,250720
,26,假如疫情没有发生,234262
,27,猫妈妈赖上男老师被窝生崽,211899
,28,甜心派,剧集 205745
,29,亢奋,剧集 187665
,30,深圳福田城中村个体户获5000到10000元补贴,179635
,31,黄多多晒首次当舞台剧导演照片,177996
,32,武汉疫情,176735
,33,刘宇宁直播,175598
,34,贺峻霖我怎么这么好看舞台,音乐 172530
,35,深圳开学时间,165305
,36,女子借手机给熟人背上5.6万元网贷,164317
,37,心居冯晓琴搬出顾家,剧集 163182
,38,乌总统称乌方不接受胜利外任何结果,150498
,39,连上六天班是什么体验,150396
,40,林书豪首节5中5,146069
,41,黄仁俊翻唱认真的雪,音乐 143373
,42,Faker十冠王,139900
,43,上海妇联回应婴幼儿被单独隔离问题,139120
,44,男生收到礼物后的反应,129695
,45,生活也不全是emo啦,127677
,46,XYG战胜GK,123524
,47,超级兵偷家带飞,123414
,48,浪姐3姐姐们基本情况,综艺 122587
,49,eStar对战WE,112911
,50,如何花钱才能又省又幸福,112591
,,,
Time,No.,Content,Hotness
2022-04-03 01:00:01,,,
,,中欧高峰会晤, 
,1,易烊千玺工作室将起诉造谣者,1188912
,2,长沙女子忘关火烧毁表哥家复式楼,989131
,3,家的荣耀,799378
,4,成都疫情,722654
,5,无症状感染者如何治疗,694002
,6,上海回应市民录音投诉健康云结果有误,643891
,•,一往无前的蓝朋友真牛,
,7,男子串门时偷走女友表妹订婚手镯,532514
,8,浪姐3姐姐们基本情况,综艺 518072
,9,教育部要求对双减成果回头看,516851
,10,台湾发现首例感染XE变异毒株病例,457876
,11,都美竹,427419
,12,mbti,390686
,13,属实是梦中的婚礼了,370426
,14,浦西核酸,369822
,15,二十五二十一,剧集 368684
,16,BIGBANG新歌空降单曲年榜TOP1,音乐 337323
,17,上海物资,334267
,18,新浪员工哇唧唧哇反向扫楼,综艺 327512
,19,美在俄乌冲突中疯狂吸血敛财,296866
,20,专家称上海这次疫情规模比武汉大,293170
,21,泰版流星花园,剧集 286891
,22,山东大姐因疫情流落上海街头,259412
,23,江苏已调派5000余名医务人员支援上海,255197
,24,甜心派,剧集 245004
,25,突然觉得自己不再年轻的瞬间,242845
,26,纪云禾出逃失败,剧集 239455
,27,甄嬛传版小鸡恰恰舞,236056
,28,常熟确诊病例感染为奥密克戎变异株BA.1.1,204770
,29,假如疫情没有发生,194597
,30,新疆烤包子原来还能这么吃,178691
,31,黄多多晒首次当舞台剧导演照片,169956
,32,武汉疫情,166843
,33,刘宇宁直播,162582
,34,深圳开学时间,154989
,35,亢奋,剧集 153990
,36,猫妈妈赖上男老师被窝生崽,150412
,37,深圳福田城中村个体户获5000到10000元补贴,142057
,38,乌总统称乌方不接受胜利外任何结果,135195
,39,女子借手机给熟人背上5.6万元网贷,135087
,40,Faker十冠王,131206
,41,黄仁俊翻唱认真的雪,音乐 129916
,42,林书豪首节5中5,122019
,43,贺峻霖我怎么这么好看舞台,音乐 120396
,44,上海妇联回应婴幼儿被单独隔离问题,115868
,45,超级兵偷家带飞,115437
,46,连上六天班是什么体验,114168
,47,阴阳师,110607
,48,如何花钱才能又省又幸福,104203
,49,XYG战胜GK,100701
,50,生活也不全是emo啦,93726
,,,
Time,No.,Content,Hotness
2022-04-03 01:15:01,,,
,,最闪亮的坐标, 
,1,易烊千玺工作室将起诉造谣者,1013993
,2,长沙女子忘关火烧毁表哥家复式楼,789461
,3,家的荣耀,744623
,4,无症状感染者如何治疗,735688
,5,成都疫情,599722
,6,男子串门时偷走女友表妹订婚手镯,496225
,7,泰版流星花园,剧集 493081
,8,浪姐3姐姐们基本情况,综艺 429857
,9,台湾发现首例感染XE变异毒株病例,416803
,10,mbti,378567
,11,都美竹,375551
,12,上海回应市民录音投诉健康云结果有误,346093
,13,山东大姐因疫情流落上海街头,337964
,14,浦西核酸,321504
,15,教育部要求对双减成果回头看,311973
,16,二十五二十一,剧集 297079
,17,上海物资,296013
,18,属实是梦中的婚礼了,276961
,19,BIGBANG新歌空降单曲年榜TOP1,音乐 270853
,20,专家称上海这次疫情规模比武汉大,266096
,21,甜心派,剧集 260652
,22,新浪员工哇唧唧哇反向扫楼,综艺 229707
,23,江苏已调派5000余名医务人员支援上海,227415
,24,美在俄乌冲突中疯狂吸血敛财,223610
,25,甄嬛传版小鸡恰恰舞,214174
,26,突然觉得自己不再年轻的瞬间,175092
,27,常熟确诊病例感染为奥密克戎变异株BA.1.1,169442
,28,假如疫情没有发生,164670
,29,深圳开学时间,149707
,30,新疆烤包子原来还能这么吃,138495
,31,黄多多晒首次当舞台剧导演照片,136885
,32,武汉疫情,135837
,33,纪云禾出逃失败,剧集 133218
,34,刘宇宁直播,129984
,35,猫妈妈赖上男老师被窝生崽,129074
,36,外卖封签费该谁来买单,124528
,37,亢奋,剧集 123978
,38,乌总统称乌方不接受胜利外任何结果,123718
,39,女子借手机给熟人背上5.6万元网贷,112739
,40,深圳福田城中村个体户获5000到10000元补贴,112195
,41,黄仁俊翻唱认真的雪,音乐 111337
,42,Faker十冠王,109270
,43,上海妇联回应婴幼儿被单独隔离问题,104305
,44,林书豪首节5中5,102030
,45,XYG战胜GK,93119
,46,超级兵偷家带飞,91967
,47,贺峻霖我怎么这么好看舞台,音乐 89309
,48,连上六天班是什么体验,84231
,49,阴阳师,75799
,50,如何花钱才能又省又幸福,74289
,,,
Time,No.,Content,Hotness
2022-04-03 01:30:01,,,
,,中欧高峰会晤, 
,1,易烊千玺工作室将起诉造谣者,964245
,2,无症状感染者如何治疗,710100
,3,家的荣耀,595055
,4,长沙女子忘关火烧毁表哥家复式楼,592029
,5,泰版流星花园,剧集 545840
,6,成都疫情,495782
,7,男子串门时偷走女友表妹订婚手镯,376967
,8,浪姐3姐姐们基本情况,综艺 369397
,9,台湾发现首例感染XE变异毒株病例,359872
,10,mbti,356956
,11,都美竹,349101
,12,山东大姐因疫情流落上海街头,336093
,13,上海回应市民录音投诉健康云结果有误,316090
,14,浦西核酸,304217
,15,教育部要求对双减成果回头看,286076
,16,二十五二十一,剧集 274291
,17,专家称上海这次疫情规模比武汉大,274207
,18,甜心派,剧集 255603
,19,外卖封签费该谁来买单,222203
,20,上海物资,219942
,21,BIGBANG新歌空降单曲年榜TOP1,音乐 217871
,22,属实是梦中的婚礼了,204674
,23,江苏已调派5000余名医务人员支援上海,204646
,24,美在俄乌冲突中疯狂吸血敛财,195178
,25,甄嬛传版小鸡恰恰舞,175776
,26,新浪员工哇唧唧哇反向扫楼,综艺 161397
,27,常熟确诊病例感染为奥密克戎变异株BA.1.1,145052
,28,突然觉得自己不再年轻的瞬间,144749
,29,假如疫情没有发生,139613
,30,深圳开学时间,137833
,31,黄多多晒首次当舞台剧导演照片,129666
,32,武汉疫情,125864
,33,纪云禾出逃失败,剧集 124404
,34,刘宇宁直播,116580
,35,乌总统称乌方不接受胜利外任何结果,114544
,36,Faker十冠王,107757
,37,亢奋,剧集 106489
,38,深圳福田城中村个体户获5000到10000元补贴,100078
,39,猫妈妈赖上男老师被窝生崽,97980
,40,新疆烤包子原来还能这么吃,97966
,41,黄仁俊翻唱认真的雪,音乐 97468
,42,女子借手机给熟人背上5.6万元网贷,95234
,43,上海妇联回应婴幼儿被单独隔离问题,86441
,44,林书豪首节5中5,84621
,45,动物表演的背后有多残忍,73350
,46,超级兵偷家带飞,71032
,47,XYG战胜GK,70801
,48,连上六天班是什么体验,69860
,49,贺峻霖我怎么这么好看舞台,音乐 65826
,50,阴阳师,60266
,,,
Time,No.,Content,Hotness
2022-04-03 01:45:02,,,
,,中欧高峰会晤, 
,1,易烊千玺工作室将起诉造谣者,860391
,2,无症状感染者如何治疗,631601
,3,家的荣耀,561420
,4,泰版流星花园,剧集 539620
,5,长沙女子忘关火烧毁表哥家复式楼,466766
,6,成都疫情,408760
,7,浪姐3姐姐们基本情况,综艺 315554
,8,mbti,306170
,9,男子串门时偷走女友表妹订婚手镯,304010
,10,台湾发现首例感染XE变异毒株病例,300967
,11,山东大姐因疫情流落上海街头,298111
,12,都美竹,290421
,13,上海回应市民录音投诉健康云结果有误,289650
