,,,
Time,No.,Content,Hotness
2022-05-29 00:00:01,,,
,,践行嘱托十年间, 
,1,教育部回应教材插图事件,7232891
,2,2022秋季学期开始使用新教材,1826616
,3,100秒走心高三回忆杀,1539609
,•,中国女足就爱中国面,
,4,成都克莱因蓝天配白云,1457124
,5,女子在游戏中体验元宇宙遭性侵,1234533
,6,教育部要求全面排查全国中小学教材,1186002
,•,皓史成双开启新生活,
,7,欧冠决赛,586087
,8,教育部要求人民教育出版社立即整改,500999
,9,警察荣誉,剧集 476834
,10,檀健次苏醒合作舞台太炸了,综艺 455196
,11,男孩偷钱被爸爸扒裤吊起用竹条抽打,455058
,12,三三乌龙,453665
,13,赵丽颖直播,453052
,14,人教社保证9月1日前全面整改到位,451511
,15,为防疫志愿者点赞,438117
,16,武夷学院,437909
,17,0713男团你好星期六喊话太好哭了,综艺 421661
,18,猫的反应是猫的七倍,417897
,19,3岁男童玩漂白剂洁厕剂中毒进ICU,366739
,20,下周端午放假3天,359666
,21,戛纳电影节,盛典 350266
,22,间谍过家家,341027
,23,怪奇物语,剧集 335029
,24,北师大数学教材插画细节拉满,335003
,25,16岁男孩徒步10公里送迷路老人回家,334951
,26,今天18时发布了6个预警,321218
,27,人民教育出版社整改说明,314108
,28,VOX直播,281057
,29,好想去重庆吃小吃,278171
,30,你好星期六全员爷青回,综艺 256962
,31,当90后遇到90岁,综艺 236332
,32,被何炅秦霄贤陈楚生陆虎合唱整破防了,综艺 218296
,33,35岁小伙打两份工资助7名困难小孩,216195
,34,金莎隔离日记vlog,216046
,35,传家,剧集 205801
,36,韩剧流星,剧集 204636
,37,俄发现美培训在乌专家应对天花暴发的材料,193571
,38,2个方式自测是否脱发,192836
,39,俄称美认为天花可用于军用生物传播,169884
,40,RNG冲击MSI三冠,169407
,41,在哪个瞬间你看到了坚持的意义,综艺 169218
,42,luna,167609
,43,F1摩纳哥大奖赛排位赛,167262
,44,人教社全国范围重选设计团队,158822
,45,退休女教师患癌离世后捐献角膜,155246
,46,搞笑女真的是天生的,153975
,47,廊坊一地调整为中风险地区,122955
,48,河南将建1.4万多个便民核酸采样屋,117611
,49,满地的滚滚要看不过来了,102973
,50,幼儿园庆六一摆席37桌请400孩子吃,100894
,,,
Time,No.,Content,Hotness
2022-05-29 00:15:01,,,
,,把中国饭碗端得更牢, 
,1,教育部回应教材插图事件,5470564
,2,2022秋季学期开始使用新教材,1657468
,3,100秒走心高三回忆杀,1508136
,4,女子在游戏中体验元宇宙遭性侵,1500568
,5,成都克莱因蓝天配白云,1484653
,6,教育部要求全面排查全国中小学教材,1182080
,7,欧冠决赛,604388
,8,3岁男童玩漂白剂洁厕剂中毒进ICU,570687
,9,教育部要求人民教育出版社立即整改,527792
,10,0713男团你好星期六喊话太好哭了,综艺 475170
,11,男孩偷钱被爸爸扒裤吊起用竹条抽打,469752
,12,三三乌龙,463413
,13,赵丽颖直播,459595
,14,武夷学院,453318
,15,今天18时发布了6个预警,447383
,16,戛纳电影节,盛典 444944
,17,警察荣誉,剧集 431812
