,,,
Time,No.,Content,Hotness
2021-12-09 00:00:01,,,
,,党和国家历史上具有里程碑意义的一年, 
,1,宋轶说自己是先婚后爱包年用户,2111230
,2,大连疫情,1225915
,3,美丽中国建设迈出重大步伐,1085119
,•,叫我美可卓,
,4,局座 印度,1081015
,5,7岁孩子将6000元现金当玩具撕成碎片,1068998
,6,教资69分,1035870
,7,在故宫工作收入高吗,641225
,8,孙卓表示不希望养父母被判刑,623887
,9,9岁女孩练字400天笔迹如同印刷体,470318
,10,中纪委回应给拐卖儿童上户口,469274
,11,唐艺昕说婚姻里要有自己的圈子和空间,469271
,12,百里弘毅面冷心软,469270
,13,91岁老人山顶跌落挂树枝靠萝卜撑7天,469267
,14,印度国防参谋长坠机事故中身亡,442292
,15,李子璇演的埃博拉密接患者,422036
,16,新闻里出现绿鱼头,384430
,17,知网回应擅录九旬教授论文,377957
,18,讨好型人格是如何形成的,368783
,19,玩球,365867
,20,潮汕牛肉火锅究竟好在哪,362380
,21,如何解决扁头女生的烦恼,362293
,22,抢甘蔗事件老人发声,321851
,23,罗晋演出了埃博拉前线抗疫紧迫感,320187
,24,教资69分有多痛苦,319758
,25,女心理师杨童舒出场氛围感,315940
,26,杨幂路阳给平原上的火焰送横幅,304277
,27,当邻居也喜欢你家装饰,295828
,28,赵丽颖高端玩家开局,289657
,29,教资面试,282533
,30,饭菜别等凉了再放冰箱,269049
,31,小孩高速扔石头致司机被玻璃渣扎伤,247926
,32,山西有群志愿者总盯着独居老人的窗帘,239650
,33,杨紫刻进我DNA的综艺名场面,233840
,34,李泽锋又带人看烟花了,232841
,35,综合素质,222400
,36,成都地铁回应撞坏1块瓷砖赔1800元,221446
,37,每天带饭真的很丢人吗,194022
,38,孙卓称成绩不错想考211院校,192034
,39,宋亚轩翻唱英文歌视频,191587
,40,台嫌犯由厦门被押返台北,189362
,41,印度国防参谋长在坠机事故中身亡,188809
,42,两年前的今天是TFBOYS最后一次合体,188239
,43,被抢甘蔗老人说不原谅他们的行为,186579
,44,周深吃错瓜的样子好可爱,177667
,45,韩方始终支持北京冬奥会圆满成功,175931
,46,文牧野谈易烊千玺寡言,175061
,47,蒙古眼女孩,168433
,48,职业本科将纳入现有学士学位体系,165263
,49,郑恺新剧被绑成大闸蟹,139444
,50,祁发宝向祖国和人民郑重汇报,137084
,,,
Time,No.,Content,Hotness
2021-12-09 00:15:01,,,
,,党和国家历史上具有里程碑意义的一年, 
,1,宋轶说自己是先婚后爱包年用户,1735972
,2,大连疫情,1138397
,3,美丽中国建设迈出重大步伐,1022809
,4,局座 印度,1017751
,5,教资69分,996700
,6,7岁孩子将6000元现金当玩具撕成碎片,873184
,7,中纪委回应给拐卖儿童上户口,742900
,8,在故宫工作收入高吗,620566
,9,孙卓表示不希望养父母被判刑,537752
,10,9岁女孩练字400天笔迹如同印刷体,516567
,11,唐艺昕说婚姻里要有自己的圈子和空间,515347
,12,如何解决扁头女生的烦恼,512650
,13,女心理师杨童舒出场氛围感,477145
,14,当邻居也喜欢你家装饰,470985
,15,91岁老人山顶跌落挂树枝靠萝卜撑7天,468087
,16,台嫌犯由厦门被押返台北,441172
,17,百里弘毅面冷心软,420505
,18,讨好型人格是如何形成的,388467
,19,李子璇演的埃博拉密接患者,384476
,20,印度国防参谋长坠机事故中身亡,370804
,21,知网回应擅录九旬教授论文,346997
,22,新闻里出现绿鱼头,315024
,23,杨幂路阳给平原上的火焰送横幅,281223
,24,潮汕牛肉火锅究竟好在哪,279754
,25,抢甘蔗事件老人发声,273854
,26,教资69分有多痛苦,270094
,27,教资面试,262861
,28,饭菜别等凉了再放冰箱,238501
,29,赵丽颖高端玩家开局,237240
,30,罗晋演出了埃博拉前线抗疫紧迫感,233878
,31,杨紫刻进我DNA的综艺名场面,220406
,32,成都地铁回应撞坏1块瓷砖赔1800元,204499
,33,李泽锋又带人看烟花了,203078
,34,山西有群志愿者总盯着独居老人的窗帘,200694
,35,孙卓称成绩不错想考211院校,199155
,36,猫咪在洗澡的时候可以有多乖,197309
,37,综合素质,194261
,38,小孩高速扔石头致司机被玻璃渣扎伤,190957
,39,印度国防参谋长在坠机事故中身亡,176396
,40,被抢甘蔗老人说不原谅他们的行为,170894
,41,祁发宝向祖国和人民郑重汇报,166908
,42,文牧野谈易烊千玺寡言,165256
,43,每天带饭真的很丢人吗,163201
,44,周深吃错瓜的样子好可爱,163064
,45,外卖小哥违停被拖车下跪求情,158810
,46,韩方始终支持北京冬奥会圆满成功,156670
,47,职业本科将纳入现有学士学位体系,155071
,48,蒙古眼女孩,152733
,49,宋亚轩翻唱英文歌视频,149410
,50,玩球,145067
,,,
Time,No.,Content,Hotness
2021-12-09 00:30:01,,,
,,全民唱响一起向未来, 
