,,,
Time,No.,Content,Hotness
2022-09-06 00:00:01,,,
,,要把抢救生命作为首要任务, 
,1,泸定地震已致超30人遇难,3200928
,2,网传韩剧鬼怪将翻拍中国版,剧集 1194466
,3,泸定地震最新动态,1149168
,4,网传今年金鹰女神赵今麦,盛典 1148289
,5,被公司发的月饼气到了,1143945
,6,QQ推出QQ学生卡,971105
,7,上海一商业广场雕塑被指性暗示,932263
,8,财政紧急调拨1.5亿元支持四川抗震救灾,906559
,9,特拉斯当选英国首相,691679
,10,梦华录 TVB,剧集 539910
,11,奥迪闯红灯追尾又撞飞行人致2死2伤,536806
,12,四川幼儿园小朋友地震中有序撤离,533599
,13,第31届金鹰奖首轮结果发布,盛典 455183
,14,爸爸给女儿买新笔袋炫耀一路,419700
,15,老师地震时轮流背学生撤离,384991
,16,泸定地震46人遇难,352113
,17,遇到彩色牛肉不要慌,320912
,18,女子上网学做生腌虾食物中毒,316249
,19,四川1小时内连发7次地震,287837
,20,易烊千玺世间有她定妆照拍摄花絮,电影 281132
,21,48家券商合计降薪超百亿,278794
,22,金世佳周寻什么时候上线,剧集 260618
,23,北京丰台新增1例感染者轨迹,246003
,24,和偶像同居是种什么体验,剧集 227942
,25,苍兰诀英文字幕,剧集 219861
,26,好老师真的能改变一个人吗,213400
,27,罚罪,剧集 201419
,28,美方长期对中国手机用户无差别监听,193337
,29,中方要求美方立即停止不法行为,193283
,30,原来每个人都有收集癖,178068
,31,成毅长沙录制你好星期六,综艺 163096
,32,航拍泸定地震震中磨西镇,159447
,33,张子枫出席电影妈妈首映,电影 158584
,34,地震瞬间父亲把孩子紧紧护在怀里,149272
,35,消失的孩子,剧集 147865
,36,每个人都有穿搭自由,147557
,37,泸定地震多人被救出,146259
,38,妈妈也有她的烦恼吧,140785
,39,卜冠今演的姜小果好让人共情,剧集 140236
,40,媒体评9个普通人登上19个app头条,140117
,41,王鹤棣尼龙杂志9月销量,140019
,42,女子和狗子拉扯宛如情侣吵架翻版,128496
,43,住户连续一年高空抛物还扔剪刀,122976
,44,中国重型火箭发动机整机试车成功,117811
,45,湖南益阳现大量蜉蝣铺天盖地,116397
,46,特警徒手刨土救出被埋男子,91576
,47,石家庄疫情防控,90646
,48,湘雅二院取消两主任医生医疗资质,89285
,49,今年中秋夜十五的月亮十五圆,88899
,50,杨兴权骗了林德赞20年,剧集 82246
,,,
Time,No.,Content,Hotness
2022-09-06 00:15:01,,,
,,要把抢救生命作为首要任务, 
,1,泸定地震46人遇难,1292597
,2,被公司发的月饼气到了,996681
,3,泸定地震最新动态,951327
,•,华为Mate50系列今日发布,
,4,网传韩剧鬼怪将翻拍中国版,剧集 946418
,5,网传今年金鹰女神赵今麦,盛典 940041
,6,财政紧急调拨1.5亿元支持四川抗震救灾,885857
,•,诛仙动画烧火棍天琊对峙,
,7,上海一商业广场雕塑被指性暗示,825842
,8,QQ推出QQ学生卡,756841
,9,特拉斯当选英国首相,717572
,10,爸爸给女儿买新笔袋炫耀一路,452679
,11,梦华录 TVB,剧集 452548
,12,四川幼儿园小朋友地震中有序撤离,396155
,13,第31届金鹰奖首轮结果发布,盛典 390202
,14,遇到彩色牛肉不要慌,310809
,15,张子枫出席电影妈妈首映,电影 289890
,16,女子上网学做生腌虾食物中毒,282281
,17,四川1小时内连发7次地震,272438
,18,易烊千玺世间有她定妆照拍摄花絮,电影 263834
,19,泸定地震已致超30人遇难,263560
,20,金世佳周寻什么时候上线,剧集 242277
,21,48家券商合计降薪超百亿,240031
,22,北京丰台新增1例感染者轨迹,209711
,23,和偶像同居是种什么体验,剧集 197674
,24,苍兰诀英文字幕,剧集 187960
,25,好老师真的能改变一个人吗,184967
,26,中国重型火箭发动机整机试车成功,184190
,27,地震瞬间父亲把孩子紧紧护在怀里,173376
,28,原来每个人都有收集癖,169700
,29,中方要求美方立即停止不法行为,168157
,30,美方长期对中国手机用户无差别监听,162564
,31,罚罪,剧集 160618
,32,航拍泸定地震震中磨西镇,150258
,33,成毅长沙录制你好星期六,综艺 138465
,34,妈妈也有她的烦恼吧,138130
,35,王鹤棣尼龙杂志9月销量,134719
,36,消失的孩子,剧集 125645
,37,每个人都有穿搭自由,124428
,38,女子和狗子拉扯宛如情侣吵架翻版,110951
,39,泸定地震多人被救出,109393
,40,卜冠今演的姜小果好让人共情,剧集 106699
,41,湖南益阳现大量蜉蝣铺天盖地,104591
,42,住户连续一年高空抛物还扔剪刀,99215
,43,石家庄疫情防控,89840
,44,特警徒手刨土救出被埋男子,80904
,45,湘雅二院取消两主任医生医疗资质,78983
,46,原来猫咪也会脚麻,72847
,47,冰雨火,剧集 69715
,48,你可以永远相信许嵩的中国风,音乐 69699
,49,老师地震时轮流背学生撤离,69119
,50,今年中秋夜十五的月亮十五圆,68745
,,,
Time,No.,Content,Hotness
2022-09-06 00:30:01,,,
,,要把抢救生命作为首要任务, 
,1,泸定地震46人遇难,2598347
,2,被公司发的月饼气到了,937967
,3,泸定地震最新动态,862065
,•,世界跑鞋中国特步,
,4,财政紧急调拨1.5亿元支持四川抗震救灾,853034
,5,特拉斯当选英国首相,781570
,6,网传韩剧鬼怪将翻拍中国版,剧集 633124
,•,如何让生活变得更精彩,
,7,上海一商业广场雕塑被指性暗示,630067
,8,QQ推出QQ学生卡,615614
,9,爸爸给女儿买新笔袋炫耀一路,485848
,10,梦华录 TVB,剧集 355330
,11,张子枫出席电影妈妈首映,电影 340928
,12,四川幼儿园小朋友地震中有序撤离,334882
,13,遇到彩色牛肉不要慌,299501
,14,第31届金鹰奖首轮结果发布,盛典 289029
,15,四川1小时内连发7次地震,275178
,16,女子上网学做生腌虾食物中毒,263458
,17,易烊千玺世间有她定妆照拍摄花絮,电影 217735
,18,金世佳周寻什么时候上线,剧集 204084
,19,48家券商合计降薪超百亿,196150
,20,中国重型火箭发动机整机试车成功,194798
,21,地震瞬间父亲把孩子紧紧护在怀里,181585
,22,和偶像同居是种什么体验,剧集 175438
,23,北京丰台新增1例感染者轨迹,164093
,24,苍兰诀英文字幕,剧集 157980
,25,妈妈也有她的烦恼吧,154129
,26,美方长期对中国手机用户无差别监听,151530
,27,中方要求美方立即停止不法行为,148975
,28,航拍泸定地震震中磨西镇,147107
,29,原来每个人都有收集癖,145553
,30,好老师真的能改变一个人吗,144732
,31,罚罪,剧集 137736
,32,王鹤棣尼龙杂志9月销量,132360
,33,消失的孩子,剧集 107590
,34,成毅长沙录制你好星期六,综艺 107447
,35,住户连续一年高空抛物还扔剪刀,105553
,36,网传今年金鹰女神赵今麦,盛典 105497
,37,石家庄疫情防控,105411
,38,女子和狗子拉扯宛如情侣吵架翻版,100035
,39,每个人都有穿搭自由,99306
,40,校长门口制止家长给孩子背书包,95102
,41,湖南益阳现大量蜉蝣铺天盖地,94754
,42,卜冠今演的姜小果好让人共情,剧集 88861
,43,你可以永远相信许嵩的中国风,音乐 85108
,44,泸定地震多人被救出,82928
,45,特警徒手刨土救出被埋男子,74120
,46,今年中秋夜十五的月亮十五圆,73789
,47,湘雅二院取消两主任医生医疗资质,73242
,48,原来猫咪也会脚麻,66576
,49,车载监控拍下泸定地震瞬间,57779
,50,BLACKPINK新歌未通过KBS审议,音乐 55833
,,,
Time,No.,Content,Hotness
2022-09-06 00:45:01,,,
,,要把抢救生命作为首要任务, 
,1,泸定地震46人遇难,2384513
,2,被公司发的月饼气到了,751964
,3,泸定地震最新动态,733353
,•,金秋送礼来京东健康,
,4,财政紧急调拨1.5亿元支持四川抗震救灾,732383
,5,特拉斯当选英国首相,726204
,6,上海一商业广场雕塑被指性暗示,537168
,7,QQ推出QQ学生卡,498607
,8,网传韩剧鬼怪将翻拍中国版,剧集 426443
,9,爸爸给女儿买新笔袋炫耀一路,390562
,10,梦华录 TVB,剧集 281370
,11,张子枫出席电影妈妈首映,电影 271713
,12,遇到彩色牛肉不要慌,258662
,13,四川幼儿园小朋友地震中有序撤离,254084
,14,四川1小时内连发7次地震,242135
,15,第31届金鹰奖首轮结果发布,盛典 240578
,16,女子上网学做生腌虾食物中毒,221305
,17,易烊千玺世间有她定妆照拍摄花絮,电影 188040
,18,中国重型火箭发动机整机试车成功,179950
,19,地震瞬间父亲把孩子紧紧护在怀里,168844
,20,金世佳周寻什么时候上线,剧集 161494
,21,和偶像同居是种什么体验,剧集 151679
,22,校长门口制止家长给孩子背书包,149057
,23,48家券商合计降薪超百亿,143189
,24,妈妈也有她的烦恼吧,138830
,25,原来每个人都有收集癖,138745
,26,航拍泸定地震震中磨西镇,134286
,27,美方长期对中国手机用户无差别监听,128133
,28,王鹤棣尼龙杂志9月销量,127594
,29,苍兰诀英文字幕,剧集 127317
,30,中方要求美方立即停止不法行为,123353
,31,北京丰台新增1例感染者轨迹,122785
,32,好老师真的能改变一个人吗,116751
,33,罚罪,剧集 104514
,34,住户连续一年高空抛物还扔剪刀,97138
,35,消失的孩子,剧集 87900
,36,女子和狗子拉扯宛如情侣吵架翻版,87654
,37,成毅长沙录制你好星期六,综艺 87576
,38,湖南益阳现大量蜉蝣铺天盖地,87208
,39,石家庄疫情防控,81267
,40,每个人都有穿搭自由,78839
,41,你可以永远相信许嵩的中国风,音乐 72781
,42,泸定地震多人被救出,72678
,43,车载监控拍下泸定地震瞬间,68849
,44,卜冠今演的姜小果好让人共情,剧集 65643
,45,特警徒手刨土救出被埋男子,64577
,46,浙江一孩平均生育年龄27.33岁,62789
,47,今年中秋夜十五的月亮十五圆,61340
,48,湘雅二院取消两主任医生医疗资质,59447
,49,原来猫咪也会脚麻,54845
,50,BLACKPINK新歌未通过KBS审议,音乐 51162
,,,
Time,No.,Content,Hotness
2022-09-06 01:00:01,,,
