,,,
Time,No.,Content,Hotness
2022-04-15 00:00:02,,,
,,人民日报谈追梦这十年, 
,1,双汇火腿肠吃出尖锐异物,1832489
,2,比林有有段位还高的人出现了,剧集 1476395
,3,走进老区看新貌,1176162
,4,太原按下了暂停键,1169492
,5,美国用乌克兰精神病患者做生物实验,1161940
,6,XYG 俱乐部,1071350
,7,18人涉嫌非法集资1395亿被起诉,946408
,8,教资笔试成绩今晚8点可查,841803
,9,演员麦皓为去世,789855
,10,刘维母亲因病去世,703727
,11,新冠病毒疑似与美国生物公司相关,613188
,12,中专生男孩考进清华,500714
,13,狗子偷吃10斤狗粮被开刀取出8斤,486652
,14,秦霄贤恋综史上最快下班嘉宾,综艺 481981
,15,教资69,408368
,16,95后小伙用6514粒积木还原同福客栈,398548
,17,教资面试,389584
,18,亲爱的小孩秦昊谢可寅吻戏,剧集 380020
,19,西安最新核酸贴纸是霍去病,379888
,20,郑州疫情,373878
,21,XYG首个晋级胜者组,363368
,22,哇唧唧哇,361998
,23,欢迎来到蘑菇屋,综艺 359829
,24,莫兰德 你是我的神,330235
,25,谁不怀念2018年的电影院呢,329624
,26,宋亚轩说他小时候很喜欢模仿别人唱歌,综艺 322260
,27,小米为门店发放疫情补贴1.2亿,309479
,28,货车高速口怒卸萝卜证清白,302368
,29,众星为杨洋新剧特战荣耀打call,剧集 290806
,30,神十三即将撤离空间站核心舱组合体,285168
,31,奇迹笨小孩网播上线,电影 282734
,32,queendom2,综艺 262657
,33,CBA,260716
,34,为什么偏爱夏天,257238
,35,哈尔滨疫情,256645
,36,谁能拒绝一只懂事的狗狗呢,216214
,37,易建联,214963
,38,辽宁男篮战胜广东男篮,214159
,39,锦鲤,201064
,40,为什么自信很重要,198435
,41,专家称不可盲目相信MBTI测试结果,191729
,42,教资 科一,190600
,43,鹿晗新歌兜风成绩单,音乐 185914
,44,周鹏,181249
,45,上海崇明一商家销售280元蔬菜套餐被立案,180780
,46,赵丽颖时尚芭莎封面,179184
,47,郑州新增11例无症状感染者,171304
,48,赵睿,166441
,49,亲爱的小孩,剧集 161692
,50,史上最多毕业生1076万,147873
,,,
Time,No.,Content,Hotness
2022-04-15 00:15:01,,,
,,人民日报谈追梦这十年, 
,1,双汇火腿肠吃出尖锐异物,1687045
,2,比林有有段位还高的人出现了,剧集 1262084
,3,走进老区看新貌,1197107
,•,抗老究竟抗什么,
,4,太原按下了暂停键,1191058
,5,18人涉嫌非法集资1395亿被起诉,1180999
,6,美国用乌克兰精神病患者做生物实验,1084939
,7,狗子偷吃10斤狗粮被开刀取出8斤,966315
,8,XYG 俱乐部,742367
,9,教资笔试成绩今晚8点可查,741686
,10,演员麦皓为去世,709335
,11,新冠病毒疑似与美国生物公司相关,678283
,12,刘维母亲因病去世,573601
,13,中专生男孩考进清华,442758
,14,郑州疫情,392114
,15,秦霄贤恋综史上最快下班嘉宾,综艺 391437
