,,,
Time,No.,Content,Hotness
2022-06-03 00:00:01,,,
,,最温柔的牵挂, 
,1,乡野村妇刘亦菲,剧集 2575595
,2,8千多LV拖鞋穿一个星期掉色,2262710
,3,上过太空的粽子都是甜粽,1477624
,•,青梅时节物语,
,4,各地对上海返回人员不能层层加码,923823
,5,吴彤说宋亚轩不会被后辈挤掉的,综艺 684413
,6,梦华录 质感,剧集 672626
,•,端午节粽子大赛,
,7,上海就核酸检测排长队致歉,577078
,8,泽连斯基称俄已控制乌约五分之一领土,568659
,9,乌总统9岁儿子给他提军事建议,367758
,10,上海新增4个中风险,350126
,11,林允好漂亮,剧集 345797
,12,李帝努钟辰乐确诊新冠,342966
,13,梦华录,剧集 339520
,14,长沙燃爆早餐店店长等3人被刑拘,330580
,15,女童遭幼师打头推倒,327354
,16,梦华录男女主颜值,剧集 323404
,17,消失的亚洲最大游乐园,319267
,18,一定要和爱的人好好相处,304469
,19,冻番茄牛腩,302686
,20,上海新增3例本土确诊4例无症状,295589
,21,张远巡演长沙站,音乐 293872
,22,魔鬼教练刘畊宏原来这么温柔,293125
,23,拍下从小到大的衣服,288193
,24,蚊子在50米外就能感知到这类人群,242386
,25,高三生考前排队顶粽子,233641
,26,幼儿园请洒水车带全校孩子打水仗,221728
,27,韩国1比5巴西,201797
,28,BLG公布夏季赛大名单,199279
,29,小狗的耳朵是快乐开关吧,196479
,30,任嘉伦白衣少年,195523
,31,金泰亨好帅,电影 194029
,32,橘生淮南,电影 192351
,33,乘风破浪姐姐小头像,综艺 190945
,34,张若昀说白鹿吃胖了就是白鹿圆,剧集 189568
,35,东莞持刀伤人事件致6人受伤,188147
,36,萧敬腾 广州,185491
,37,如何让小腿肚变得平坦,181654
,38,5类人更招蚊子,157931
,39,英国女王登基70周年庆典开幕,138475
,40,合肥一医院医疗报销处现丁义珍式窗口,135910
,41,王紫璇是河神里的小神婆,剧集 135540
,42,小学生拔河失利痛哭合唱孤勇者,134441
,43,江西低风险地区人员流动不再查验核酸证明,126706
,44,对着镜子笑的狗狗,126004
,45,苏东坡曾吃杨梅馅粽子,124474
,46,穿汉服逛市场跟保安闹纠纷,123828
,47,男子患癌遭拒赔法院判保险公司赔12.6万,111781
,48,象妈妈自制蒲扇给午睡小象扇风,109274
,49,再也不买奇葩粽子了,101739
,50,河南核酸采样屋设计遭吐槽,101094
,,,
Time,No.,Content,Hotness
2022-06-03 00:15:02,,,
,,最温柔的牵挂, 
,1,乡野村妇刘亦菲,剧集 2389968
,2,8千多LV拖鞋穿一个星期掉色,1981351
,3,上过太空的粽子都是甜粽,916012
,4,各地对上海返回人员不能层层加码,732735
,5,梦华录,剧集 700283
,6,泽连斯基称俄已控制乌约五分之一领土,637054
,•,罗一舟敏感净修课,
,7,上海就核酸检测排长队致歉,613902
,8,梦华录 质感,剧集 576675
,9,如何让小腿肚变得平坦,394018
,10,乌总统9岁儿子给他提军事建议,374945
,11,吴彤说宋亚轩不会被后辈挤掉的,综艺 374610
,12,林允好漂亮,剧集 374219
,13,长沙燃爆早餐店店长等3人被刑拘,373569
,14,李帝努钟辰乐确诊新冠,373147
,15,女童遭幼师打头推倒,372680
,16,上海新增4个中风险,355571
,17,冻番茄牛腩,328704
,18,消失的亚洲最大游乐园,298458
,19,一定要和爱的人好好相处,256220
,20,上海新增3例本土确诊4例无症状,248770
,21,张远巡演长沙站,音乐 241152
,22,梦华录男女主颜值,剧集 237100
,23,金泰亨好帅,电影 234136
,24,幼儿园请洒水车带全校孩子打水仗,230619
,25,拍下从小到大的衣服,222817
,26,高三生考前排队顶粽子,201971
,27,小狗的耳朵是快乐开关吧,186273
,28,东莞持刀伤人事件致6人受伤,185733
,29,BLG公布夏季赛大名单,175224
,30,蚊子在50米外就能感知到这类人群,175212
,31,橘生淮南,电影 174343
,32,张若昀说白鹿吃胖了就是白鹿圆,剧集 172507
,33,魔鬼教练刘畊宏原来这么温柔,171065
,34,原来屈原才是中国式浪漫鼻祖,综艺 169270
,35,韩国1比5巴西,167900
,36,乘风破浪姐姐小头像,综艺 163352
,37,对着镜子笑的狗狗,157744
,38,苏东坡曾吃杨梅馅粽子,149111
,39,5类人更招蚊子,136214
,40,合肥一医院医疗报销处现丁义珍式窗口,135203
,41,北宋第一美食博主非苏轼莫属,综艺 133385
,42,小学生拔河失利痛哭合唱孤勇者,122806
,43,英国女王登基70周年庆典开幕,113343
,44,江西低风险地区人员流动不再查验核酸证明,109715
,45,男子患癌遭拒赔法院判保险公司赔12.6万,105771
,46,穿汉服逛市场跟保安闹纠纷,103671
,47,象妈妈自制蒲扇给午睡小象扇风,100178
,48,河南核酸采样屋设计遭吐槽,92957
,49,马超五虎起飞表演赛,85980
,50,再也不买奇葩粽子了,83544
,,,
Time,No.,Content,Hotness
2022-06-03 00:30:02,,,
,,最温柔的牵挂, 
,1,乡野村妇刘亦菲,剧集 2046717
,2,8千多LV拖鞋穿一个星期掉色,1675743
,3,上过太空的粽子都是甜粽,1170010
,4,梦华录,剧集 793575
,5,如何让小腿肚变得平坦,672488
,6,各地对上海返回人员不能层层加码,659231
,•,罗一舟敏感净修课,
,7,长沙燃爆早餐店店长等3人被刑拘,622232
,8,泽连斯基称俄已控制乌约五分之一领土,582797
,9,上海就核酸检测排长队致歉,509651
,10,梦华录 质感,剧集 495083
,11,吴彤说宋亚轩不会被后辈挤掉的,综艺 448694
,12,林允好漂亮,剧集 434574
,13,原来屈原才是中国式浪漫鼻祖,综艺 399462
,14,上海新增4个中风险,326793
,15,女童遭幼师打头推倒,295877
,16,乌总统9岁儿子给他提军事建议,291598
,17,消失的亚洲最大游乐园,281827
,18,冻番茄牛腩,257798
