,,,
Time,No.,Content,Hotness
2021-12-11 00:00:01,,,
,,十九届六中全会精神, 
,1,抄论文抄到自己导师头上,1495013
,2,杭州疫情,833055
,3,青春的力量有多大,814261
,•,童话里都是冻人的,
,4,哈士奇遭弃每天公园晨跑找主人,811564
,5,夏梦用PPT道歉,770427
,6,杭州7名感染者曾聚餐打牌,639016
,7,郁可唯12年后再唱如果云知道,620074
,8,考研滞留浙江可在浙江借考,611608
,9,中国正式入世20周年,535040
,10,72岁母亲对丢失43年儿子含泪道歉,526060
,11,赵今麦郭俊辰牵手路透好甜,525112
,12,李现说药不然本上记的是上官婉儿连招,523135
,13,杨紫多少有点杂技天赋,440875
,14,新郎结婚走红毯被朋友往衣领灌酒,440404
,15,宁波新增13例阳性,377064
,16,婴儿被裹8件衣服2层被子患捂热综合征,371574
,17,郑乃馨双马尾虚拟舞台有六个马尾,364868
,18,居民收入增速远高于房价增速,325412
,19,贵阳多家网吧用闲置电脑挖矿被查,293848
,20,小学生考试奖励抽中试卷泣不成声,287003
,21,百里弘毅将柳然护在身后,286547
,22,杨洋范丞丞无效答题,275022
,23,杭州一公司7人感染,234216
,24,立陶宛总统邀美国永久驻军,229978
,25,被范丞丞的trustme笑不活了,229751
,26,警察撸串顺便抓了个嫌犯,229278
,27,Bin疑似加入RNG,226923
,28,双胞胎姐妹一起办婚礼嫁给亲兄弟俩,224018
,29,宁波7例阳性与一养护中心关联,213498
,30,被一条短信整破防了,206365
,31,谢霆锋用手碟给丁真作曲,205988
,32,神奇动物3先导预告,198677
,33,一年一度喜剧大赛,197279
,34,刘亦菲版的虞姬也太美了,194046
,35,宁波7例与一养护中心关联,190522
,36,樊纲称房地产价格没有大泡沫,186685
,37,猫咪微笑时有多撩人,183973
,38,2030年前我国将送人上月球,180868
,39,花53元打卡长安大学食堂,180525
,40,原来猫咪还会吸鼻涕,168008
,41,明星中的社恐天花板,167854
,42,冬梦之约,167794
,43,苏炳添最新隔离vlog,167678
,44,重庆人都不胖的原因找到了,155834
,45,黄牛跳车致劳斯莱斯撞车损失30万,150550
,46,中央经济工作会议,147997
,47,柠檬加虾滑才是绝配吧,138291
,48,怪不得大爷的烤红薯卖得好,138207
,49,XYG战胜DYG,138004
,50,宁波疫情在镇海本地传播路径清晰,137812
,,,
Time,No.,Content,Hotness
2021-12-11 00:15:02,,,
,,十九届六中全会精神, 
,1,抄论文抄到自己导师头上,1365731
,2,哈士奇遭弃每天公园晨跑找主人,936966
,3,青春的力量有多大,759131
,4,夏梦用PPT道歉,725907
,5,杭州7名感染者曾聚餐打牌,613301
,6,郁可唯12年后再唱如果云知道,567275
,•,明星公益赛决战奉贤新城,
,7,李现说药不然本上记的是上官婉儿连招,547620
,8,考研滞留浙江可在浙江借考,514186
,9,中国正式入世20周年,508764
,10,72岁母亲对丢失43年儿子含泪道歉,493419
,11,赵今麦郭俊辰牵手路透好甜,473628
,12,中国知网向赵德馨教授道歉,453413
,13,新郎结婚走红毯被朋友往衣领灌酒,447141
,14,杭州疫情,434173
,15,杨紫多少有点杂技天赋,415543
,16,杨洋范丞丞无效答题,372893
,17,宁波新增13例阳性,359465
,18,婴儿被裹8件衣服2层被子患捂热综合征,352377
,19,居民收入增速远高于房价增速,351101
,20,贵阳多家网吧用闲置电脑挖矿被查,292637
,21,神奇动物3先导预告,292309
,22,郑乃馨双马尾虚拟舞台有六个马尾,284913
,23,被范丞丞的trustme笑不活了,278705
,24,中国知网道歉,254929
,25,警察撸串顺便抓了个嫌犯,245544
,26,小学生考试奖励抽中试卷泣不成声,235163
,27,Bin疑似加入RNG,210285
,28,立陶宛总统邀美国永久驻军,209485
,29,杭州一公司7人感染,200785
,30,被一条短信整破防了,198045
,31,百里弘毅将柳然护在身后,197548
,32,一年一度喜剧大赛,196743
,33,谢霆锋用手碟给丁真作曲,195613
,34,刘亦菲版的虞姬也太美了,194992
,35,宁波7例阳性与一养护中心关联,194583
,36,双胞胎姐妹一起办婚礼嫁给亲兄弟俩,191561
,37,2030年前我国将送人上月球,184783
,38,原来猫咪还会吸鼻涕,182779
,39,被以前的照片整破防了,181678
,40,樊纲称房地产价格没有大泡沫,179269
,41,明星中的社恐天花板,177379
,42,宁波疫情在镇海本地传播路径清晰,173844
,43,猫咪微笑时有多撩人,172570
,44,时光音乐会,172104
,45,苏炳添最新隔离vlog,162230
,46,宁波7例与一养护中心关联,154492
,47,黄牛跳车致劳斯莱斯撞车损失30万,143774
,48,智能锁真的安全吗,140851
,49,重庆人都不胖的原因找到了,138228
,50,中央经济工作会议,134425
,,,
Time,No.,Content,Hotness
2021-12-11 00:30:02,,,
,,十九届六中全会精神, 
,1,抄论文抄到自己导师头上,1235618
,2,哈士奇遭弃每天公园晨跑找主人,810789
,3,青春的力量有多大,656465
,4,中国知网向赵德馨教授道歉,649714
,5,中国知网道歉,649566
,6,夏梦用PPT道歉,638886
,7,李现说药不然本上记的是上官婉儿连招,501428
,8,许茹芸老公中文视频打call,448659
,9,杭州7名感染者曾聚餐打牌,441677
,10,72岁母亲对丢失43年儿子含泪道歉,433622
,11,赵今麦郭俊辰牵手路透好甜,433622
,12,神奇动物3先导预告,433614
,13,郁可唯12年后再唱如果云知道,414390
,14,考研滞留浙江可在浙江借考,366952
,15,新郎结婚走红毯被朋友往衣领灌酒,343692
,16,被以前的照片整破防了,327298
,17,居民收入增速远高于房价增速,316847
,18,婴儿被裹8件衣服2层被子患捂热综合征,311597
,19,杭州疫情,302456
,20,宁波新增13例阳性,293372
,21,杨紫多少有点杂技天赋,277976
,22,杨洋范丞丞无效答题,277223
,23,一年一度喜剧大赛,237339
,24,郑乃馨双马尾虚拟舞台有六个马尾,237103
,25,智能锁真的安全吗,228971
,26,贵阳多家网吧用闲置电脑挖矿被查,226556
,27,警察撸串顺便抓了个嫌犯,218452
,28,出镜央视绿鱼头本人回应,210373
,29,原来猫咪还会吸鼻涕,200235
